iter	Passed	Remaining
0	4	1965
1	7	1661
2	11	1534
3	14	1467
4	17	1419
5	20	1392
6	23	1362
7	25	1338
8	28	1317
9	31	1301
10	34	1283
11	37	1268
12	43	1352
13	47	1377
14	50	1358
15	53	1338
16	56	1341
17	59	1325
18	62	1308
19	64	1294
20	67	1281
21	70	1268
22	72	1257
23	75	1245
24	78	1234
25	80	1225
26	83	1216
27	86	1209
28	89	1201
29	91	1192
30	94	1182
31	96	1173
32	99	1165
33	101	1157
34	104	1149
35	106	1141
36	109	1132
37	111	1124
38	114	1117
39	116	1110
40	119	1103
41	121	1096
42	124	1090
43	126	1084
44	129	1077
45	131	1071
46	134	1065
47	136	1061
48	139	1055
49	141	1050
50	144	1044
51	147	1040
52	149	1035
53	152	1030
54	154	1025
55	157	1020
56	159	1016
57	162	1011
58	164	1007
59	167	1003
60	169	998
61	172	994
62	174	989
63	177	985
64	180	983
65	182	979
66	185	975
67	187	971
68	190	967
69	192	963
70	195	959
71	197	955
72	200	951
73	202	947
74	205	943
75	207	939
76	210	935
77	212	931
78	214	927
79	217	923
80	219	920
81	222	916
82	224	912
83	227	909
84	229	905
85	232	902
86	234	898
87	237	895
88	239	891
89	242	888
90	245	886
91	251	895
92	253	892
93	256	889
94	259	886
95	261	882
96	264	879
97	266	875
98	269	872
99	271	868
100	274	865
101	276	862
102	279	858
103	281	855
104	284	852
105	286	848
106	289	845
107	291	842
108	294	838
109	296	835
110	299	832
111	301	829
112	304	826
113	306	822
114	309	819
115	311	816
116	313	813
117	316	809
118	318	806
119	321	803
120	323	800
121	326	797
122	328	794
123	331	791
124	333	787
125	336	785
126	339	782
127	341	779
128	345	778
129	347	775
130	350	772
131	352	769
132	354	766
133	357	762
134	359	759
135	362	756
136	365	754
137	367	751
138	369	747
139	372	744
140	374	741
141	377	738
142	379	735
143	382	732
144	384	730
145	387	726
146	389	723
147	392	721
148	394	718
149	397	715
150	399	712
151	402	709
152	404	706
153	407	703
154	409	700
155	412	697
156	414	694
157	417	691
158	419	688
159	422	686
160	424	683
161	427	680
162	429	677
163	432	674
164	434	671
165	437	669
166	439	666
167	442	663
168	444	660
169	447	657
170	449	654
171	452	652
172	454	649
173	457	646
174	459	643
175	462	640
176	464	638
177	467	635
178	469	632
179	472	629
180	474	626
181	477	624
182	479	621
183	482	618
184	484	615
185	487	612
186	489	610
187	492	607
188	495	605
189	499	604
190	501	601
191	504	598
192	506	595
193	509	592
194	511	590
195	513	587
196	516	584
197	518	581
198	521	578
199	523	576
200	526	573
201	528	570
202	531	567
203	533	565
204	536	562
205	538	559
206	541	556
207	543	554
208	546	551
209	548	548
210	550	545
211	553	543
212	556	540
213	558	537
214	560	534
215	563	532
216	565	529
217	568	526
218	570	524
219	573	521
220	576	518
221	578	516
222	581	513
223	583	510
224	585	507
225	588	505
226	590	502
227	593	499
228	595	496
229	598	494
230	600	491
231	603	489
232	605	486
233	608	483
234	610	480
235	613	478
236	615	475
237	618	472
238	620	470
239	623	467
240	625	464
241	628	462
242	630	459
243	633	456
244	635	454
245	638	451
246	643	450
247	645	447
248	648	445
249	650	442
250	653	439
251	655	437
252	658	434
253	660	431
254	663	429
255	665	426
256	669	424
257	672	422
258	674	419
259	676	416
260	679	413
261	682	411
262	684	408
263	687	405
264	689	403
265	691	400
266	694	397
267	696	395
268	699	392
269	701	389
270	704	387
271	706	384
272	709	381
273	711	379
274	714	376
275	716	373
276	719	371
277	721	368
278	724	365
279	726	363
280	728	360
281	731	357
282	733	355
283	736	352
284	738	349
285	741	347
286	743	344
287	746	341
288	748	339
289	750	336
290	753	334
291	755	331
292	758	328
293	760	326
294	763	323
295	765	320
296	768	318
297	770	315
298	773	312
299	775	310
300	778	307
301	780	304
302	783	302
303	785	299
304	787	297
305	790	294
306	792	291
307	795	289
308	797	286
309	800	284
310	802	281
311	805	278
312	807	276
313	810	273
314	813	271
315	815	268
316	817	265
317	820	263
318	822	260
319	825	257
320	827	255
321	830	252
322	832	250
323	835	247
324	837	244
325	840	242
326	842	239
327	845	237
328	847	234
329	850	231
330	852	229
331	855	226
332	858	224
333	860	221
334	863	219
335	865	216
336	868	213
337	870	211
338	873	208
339	875	206
340	878	203
341	880	200
342	883	198
343	887	196
344	890	193
345	893	191
346	895	188
347	898	185
348	900	183
349	903	180
350	905	178
351	908	175
352	910	172
353	913	170
354	915	167
355	918	165
356	920	162
357	923	159
358	925	157
359	928	154
360	930	152
361	933	149
362	935	146
363	938	144
364	940	141
365	943	139
366	945	136
367	948	133
368	950	131
369	953	128
370	955	126
371	958	123
372	960	121
373	963	118
374	965	115
375	967	113
376	970	110
377	972	108
378	975	105
379	977	102
380	980	100
381	982	97
382	985	95
383	987	92
384	990	90
385	992	87
386	995	84
387	997	82
388	1000	79
389	1002	77
390	1005	74
391	1007	71
392	1010	69
393	1012	66
394	1015	64
395	1018	61
396	1020	59
397	1023	56
398	1025	53
399	1028	51
400	1030	48
401	1033	46
402	1035	43
403	1038	41
404	1040	38
405	1043	35
406	1045	33
407	1048	30
408	1050	28
409	1053	25
410	1055	23
411	1058	20
412	1060	17
413	1062	15
414	1065	12
415	1067	10
416	1070	7
417	1072	5
418	1075	2
419	1077	0
