iter	Logloss
0	0.6742275048
5	0.5891622897
10	0.5180717905
15	0.4586059087
20	0.4091838822
25	0.368442353
30	0.3344569957
35	0.306161879
40	0.2826718765
45	0.2628237959
50	0.2461763539
55	0.2322369678
60	0.2206019155
65	0.2107736485
70	0.2024479805
75	0.1953233505
80	0.1892961535
85	0.1842373866
90	0.1799638162
95	0.1761803892
100	0.1729292498
105	0.1701547782
110	0.1677911494
115	0.165702743
120	0.1639034503
125	0.1623384061
130	0.1610355134
135	0.1598945908
140	0.1588409754
145	0.157929609
150	0.1571181613
155	0.1563684478
160	0.1557361211
165	0.1551920532
170	0.1547210403
175	0.1542975422
180	0.1539163742
185	0.153583596
190	0.1532768722
195	0.1529939932
200	0.1527438079
205	0.1525324636
210	0.1523238866
215	0.1521159549
220	0.1519533613
225	0.1517892582
230	0.1516581004
235	0.1515065214
240	0.1513439825
245	0.1512224174
250	0.1511230346
255	0.1510357711
260	0.1509316193
265	0.1508427588
270	0.1507600565
275	0.1506707695
280	0.1506208812
285	0.1505514357
290	0.1504862342
295	0.1504043522
300	0.1503243953
305	0.1502638206
310	0.1501532263
315	0.1500750632
320	0.1499863778
325	0.1499370583
330	0.1498741319
335	0.1498141259
340	0.1497610109
345	0.1497037723
350	0.1496444882
355	0.1495996533
360	0.1495236888
365	0.1494834259
370	0.1494308359
375	0.1493804445
380	0.1493227246
385	0.149268472
390	0.149226306
395	0.1491963577
400	0.1491646593
405	0.1491218151
410	0.1490746723
415	0.1490461131
420	0.1489986968
425	0.1489538291
430	0.1489227213
435	0.1488566885
440	0.1488210962
445	0.148796967
450	0.1487607621
455	0.1487237916
460	0.1486721204
465	0.1486250432
470	0.148591737
475	0.1485446051
480	0.1485004592
485	0.148445802
490	0.1484116863
495	0.1483857851
500	0.1483510787
505	0.1483311169
510	0.1482916962
515	0.1482591556
520	0.1482361421
525	0.1482019826
530	0.1481808504
535	0.1481598822
540	0.1481168849
545	0.1481066359
550	0.1480870241
555	0.1480209803
560	0.1479930665
565	0.1479565773
570	0.1479240039
575	0.1478835551
580	0.1478576101
585	0.147823396
590	0.1477976917
595	0.1477671199
600	0.1477150987
605	0.1476793314
610	0.1476302744
615	0.1475912038
620	0.1475509957
625	0.1475304541
630	0.1475067733
635	0.1474652635
640	0.1474193785
645	0.1473765452
650	0.147336884
655	0.1473003182
660	0.1472743404
665	0.1472372496
670	0.1472024776
675	0.1471805469
680	0.1471569317
685	0.1471215473
690	0.1470857909
695	0.1470624929
700	0.1470373136
705	0.1470087216
710	0.1469758638
715	0.1469438811
720	0.1469058933
725	0.1468818297
730	0.1468376839
735	0.1468199533
740	0.1467856736
745	0.1467438685
750	0.1467274287
755	0.1466942208
760	0.1466608708
765	0.1466427028
770	0.1466174797
775	0.1465578457
780	0.1465157671
785	0.1464821327
790	0.1464425918
795	0.1464142733
800	0.1463693071
805	0.1463265832
810	0.1462894924
815	0.1462556501
820	0.1462144466
825	0.1461892892
830	0.1461613754
835	0.1461347304
840	0.1460986896
845	0.1460746916
850	0.1460460996
855	0.1460184483
860	0.1459979177
865	0.1459579939
870	0.145923911
875	0.1458950675
880	0.1458644082
885	0.1458305988
890	0.1457997208
895	0.1457681318
900	0.1457123151
905	0.1456993973
910	0.1456803105
915	0.1456501106
920	0.1456194295
925	0.1455912532
930	0.1455441431
935	0.1455147527
940	0.145479926
945	0.1454521435
950	0.1454257719
955	0.1453919297
960	0.1453808604
965	0.1453519294
970	0.145338585
975	0.1452964846
980	0.1452635611
985	0.1452224451
990	0.1451846324
995	0.1451512168
999	0.1451255015
