iter	Passed	Remaining
0	203	203346
1	344	171898
2	488	162225
3	580	144580
4	719	143188
5	857	142016
6	943	133869
7	1081	134153
8	1225	134976
9	1305	129236
10	1448	130219
11	1589	130888
12	1735	131730
13	1874	132012
14	2015	132357
15	2139	131595
16	2204	127454
17	2343	127838
18	2484	128253
19	2622	128489
20	2760	128695
21	2793	124205
22	2933	124623
23	2997	121907
24	3135	122294
25	3277	122769
26	3415	123087
27	3557	123490
28	3699	123862
29	3842	124225
30	3988	124661
31	4130	124952
32	4272	125188
33	4414	125425
34	4556	125638
35	4699	125839
36	4834	125818
37	4858	123007
38	4997	123148
39	5142	123415
40	5287	123676
41	5432	123921
42	5573	124035
43	5716	124206
44	5859	124348
45	6006	124568
46	6147	124649
47	6290	124764
48	6437	124931
49	6585	125128
50	6729	125218
51	6794	123871
52	6940	124007
53	7082	124079
54	7230	124237
55	7376	124345
56	7410	122606
57	7549	122611
58	7689	122635
59	7831	122690
60	7971	122706
61	8115	122780
62	8258	122832
63	8322	121714
64	8459	121692
65	8485	120077
66	8616	119987
67	8762	120099
68	8902	120125
69	9049	120235
70	9194	120307
71	9343	120425
72	9479	120377
73	9620	120387
74	9685	119456
75	9830	119520
76	9973	119551
77	10118	119601
78	10264	119663
79	10382	119400
80	10533	119504
81	10678	119544
82	10821	119559
83	10960	119519
84	11100	119496
85	11240	119462
86	11369	119317
87	11432	118481
88	11569	118423
89	11621	117507
90	11763	117505
91	11903	117481
92	12050	117523
93	12195	117547
94	12344	117599
95	12484	117561
96	12630	117577
97	12775	117584
98	12922	117611
99	13064	117581
100	13216	117636
101	13361	117632
102	13508	117638
103	13649	117592
104	13795	117592
105	13932	117505
106	14073	117450
107	14217	117423
108	14233	116347
109	14368	116255
110	14497	116112
111	14643	116099
112	14787	116073
113	14927	116017
114	15076	116021
115	15218	115978
116	15362	115938
117	15504	115890
118	15643	115816
119	15793	115817
120	15943	115821
121	16088	115786
122	16221	115661
123	16336	115407
124	16473	115315
125	16615	115250
126	16648	114441
127	16796	114426
128	16924	114273
129	17062	114187
130	17195	114066
131	17334	113986
132	17460	113819
133	17602	113760
134	17738	113657
135	17879	113589
136	18024	113542
137	18176	113534
138	18306	113398
139	18436	113250
140	18566	113111
141	18710	113053
142	18862	113045
143	19013	113022
144	19157	112965
145	19309	112945
146	19432	112760
147	19554	112567
148	19683	112419
149	19825	112344
150	19943	112133
151	20090	112081
152	20233	112010
153	20375	111933
154	20520	111870
155	20664	111801
156	20801	111691
157	20943	111611
158	21075	111475
159	21208	111344
160	21355	111284
161	21500	111220
162	21638	111110
163	21780	111025
164	21929	110974
165	21964	110352
166	22109	110281
167	22223	110059
168	22362	109959
